,Date,Stocks,Headlines,Description
134,2023-07-04 08:02:03,axis-bank-AXBK,"Axis Bank, Wipro, Maruti Suzuki: How should you trade these buzzing stocks?",Axis Bank is currently in a classical uptrend. It is experiencing a multi-month breakout with increased trading volumes. The stock is forming a Cup and Handle pattern on the daily chart.
135,2023-07-04 08:19:24,axis-bank-AXBK,Axis Bank - Strong Trends In Business Momentum; Improving Operating Performance.: KRChoksey,"Axis Bank Ltd. has reported a stellar operating performance in FY23 led by healthy business traction as well as the successful integration of CITI business.  

The bank has strengthened its retail segment led by aggressive focus on customer acquisition as well as improved granularity. CITI business integration will further boost the overall business momentum, especially in the retail segment, and also aids in capturing market share in the retail segment. "
136,2023-07-03 15:29:15,axis-bank-AXBK,"Nifty Bank Outlook: Buy the dips; HDFC Bank, Axis Bank shares may do well","Nifty Bank May futures traded with a 103.15-point premium to the Nifty Bank spot.

"
138,2023-06-28 14:34:53,axis-bank-AXBK,"Mahila Samman Saving Certificate facility now available in these public sector banks, four private banks. Check details here","According to a recent notification by the Finance Ministry, one can apply for a Mahila Samman Savings Certificate, 2023, in all public sector banks and ICICI Bank, Axis Bank, HDFC Bank Ltd and IDBI Bank. 
"
141,2023-06-27 12:46:37,axis-bank-AXBK,Sensex snaps three-day losing run; HDFC twins shine,"Equity benchmark index Sensex ended a three-session losing streak to close nearly 450 points higher on Tuesday, helped by intense buying in index majors HDFC twins, ICICI Bank and Axis Bank amid a mixed trend in the global markets."
142,2023-06-27 07:47:53,axis-bank-AXBK,"Adani Enterprises, Adani Ports, 3 other shares may see $129 million inflows on NSE indices rejig","BEL, IndusInd Bank, Axis Bank, Reliance Industries, Bank of Baroda, NHPC and JSW Steel are likely to see up to $28 million in outflows, Nuvama Alternative & Quantitative Research suggested in a note.

"
143,2023-06-26 18:00:07,axis-bank-AXBK,Axis Bank To Grow Up To 6% Faster Than Industry: CEO Amitabh Chaudhry,"Axis Bank on Monday said it will continue to grow 4-6% faster than the industry in the medium to long term, helped by focus on rural and semi-urban markets, improving digital infrastructure and Citibank India retail business."
146,2023-06-26 08:49:44,axis-bank-AXBK,"Stocks to Watch: TCS, IndusInd Bank, Infosys, Axis Bank, RVNL, Aurobindo Pharma, and Others - News18","Stocks to watch: Shares of firms like TCS, IndusInd Bank, Infosys, Axis Bank, RVNL, Aurobindo Pharma, and others will be in focus on Monday's trade."
147,2023-06-26 00:20:18,axis-bank-AXBK,"Stocks To Watch: TCS, HDFC Life, IPCA, Rail Vikas Nigam, Axis Bank","Stocks to watch are Tata Consultancy Services, HDFC Life Insurance, IPCA, Rail Vikas Nigam, Axis Bank"
148,2023-06-25 12:50:11,axis-bank-AXBK,"RBI Imposes Penalty On Bank Of Maharashtra, Axis Bank & J&K Bank - News18",The RBI said penalities are based on deficiencies in regulatory compliance.
150,2023-06-23 15:29:50,axis-bank-AXBK,"RBI Imposes Penalty On J&K Bank, Bank Of Maharashtra, Axis Bank","The Reserve Bank on Friday said it has imposed a penalty of Rs 2.5 crore on Jammu and Kashmir Bank for non-compliance with certain directions, including one related to ""time-bound implementation and strengthening of SWIFT-related operational controls""."
152,2023-06-23 13:34:41,axis-bank-AXBK,"ICICI Bank, Axis Bank & IndusInd Bank among Nomura’s top banking picks; downgrades AU Bank",Nomura has downgraded AU Small Finance Bank to a non-consensus 'reduce' from 'neutral' as it sees the lender as the most expensive stock with the lowest RoE outlook.
153,2023-06-22 13:38:26,axis-bank-AXBK,Top 10 Indian Companies That Paid Highest Tax In FY 2023,"From Mukesh Ambani's RIL to Axis Bank, these Indian companies paid an astounding amount of tax in FY 2023."
154,2023-06-22 10:47:29,axis-bank-AXBK,"ITC, Axis Bank, Bharti Airtel, HDFC Bank shares: Only 10 Sensex stocks hit record highs in 2023 so far","
Power Grid hit an all-time high of Rs 249.75 on June 20. ITC hit its all-time high of Rs 455.90 on June 19. Two other Sensex stocks  Titan Company Ltd and Larsen & Toubro Ltd hit their respective new highs on the same day.

"
156,2023-06-21 15:29:23,axis-bank-AXBK,Axis Bank launches new feature to manage multiple accounts on one platform,"Axis Bank has launched the ‘one-view’ feature on its mobile application which enables account management across multiple bank accounts, including non-Axis accounts."
160,2023-06-19 16:35:12,axis-bank-AXBK,"Alok Industries, YES Bank, Suzlon Energy, BHEL shares see high volumes; HDFC Bank stock leads turnover table","Stocks seeing turnover in excess of Rs 500 crore included Axis Bank, Hindustan Aeronautics, IKIO Lighting and State Bank of India. The NSE Nifty was trading at 18,788.95, down 0.20 per cent.

"
161,2023-06-19 08:19:49,axis-bank-AXBK,"Stocks to Watch: HDFC Bank, Patanjali Foods, Tata Steel, Axis Bank, Natco Pharma, and Others - News18","Stocks to watch: Shares of firms like HDFC Bank, Patanjali Foods, Tata Steel, Axis Bank, Natco Pharma, and others will be in focus on Monday's trade."
162,2023-06-17 12:48:19,axis-bank-AXBK,Axis Bank Appoints Former RBI DG Vishwanathan as Non-Executive Chairman - News18,Axis Bank's board of directors approves the appointment of N S Vishwanathan as an independent director and non-executive (part-time) chairman for three years
164,2023-06-16 09:55:25,axis-bank-AXBK,"India remains favourite stock market from 10-year view, says Jefferies’ Chris Wood","Jefferies' global long-only portfolio includes six Indian stocks namely HDFC Bank (5 per cent weight), ICICI Bank (5 per cent), Zomato (4 per cent weight), Reliance Industries (4 per cent), Godrej Properties (4 per cent) and Axis Bank (4 per cent).

"
165,2023-06-16 11:07:46,axis-bank-AXBK,"Reliance Industries, HCL Tech, HDFC Life, Axis Bank among stocks to watch out for today","Stocks to watch out for today: Reliance Industries, Samvardhana Motherson, HCL Tech, HDFC Life, Axis Bank and more  

"
166,2023-06-16 05:41:06,axis-bank-AXBK,Morgan Stanley to move India headquarters to larger Mumbai space,"The shift into the space spread over two floors will be done next year. Goldman Sachs Group Inc., SoftBank Group Corp. and domestic lender Axis Bank Ltd. also have offices in the area."
167,2023-06-16 08:57:27,axis-bank-AXBK,"Stocks to Watch: IKIO Lighting, RIL, IndiGo, Axis Bank, GAIL, UTI AMC, and Others - News18","Stocks to watch: Shares of firms like IKIO Lighting, RIL, IndiGo, Axis Bank, GAIL, UTI AMC, and others will be in focus on Friday's trade."
170,2023-06-15 12:50:11,axis-bank-AXBK,"Axis Bank, TCS, Varun Beverages, Tega Industries among stocks to watch out for today","Stocks to watch out for today: Axis Bank, TCS, Varun Beverages, DCW, Tega Industries, REC and more  

"
171,2023-06-15 08:06:55,axis-bank-AXBK,Axis Bank shares in focus as Bain Capital likely to sell 0.75% stake today,"Axis Bank shares settled at Rs 977.75 on BSE. The offer price range for the block deal suggest up to 1.4 per cent discount to the prevailing Axis Bank price.

"
172,2023-06-16 14:10:10,axis-bank-AXBK,"Stocks In Focus: Axis Bank, HDFC Twins, Wipro, HAL, SJVN And More | BQ Prime","Stocks In Focus: Axis Bank, HDFC Twins, Wipro, HAL, SJVN And More | BQ Prime #StocksInFocus | #TurtleWealth's Rohan Mehta shares his views on the top buzzing stocks in trade today."
174,2023-06-15 04:28:52,axis-bank-AXBK,"Stocks to watch on June 15, 2023","Buzzing stocks of Axis Bank, Hero Motocorp, Reliance Industries, M&M, HCL Technologies, SJVN, IND Renewable, Imagicaaworld, Aavas Financiers, Tega Industries, Sangam India"
178,2023-06-15 04:28:52,axis-bank-AXBK,"Stocks to watch on June 14, 2023","Buzzing stocks of Axis Bank, Hero Motocorp, Reliance Industries, M&M, HCL Technologies, SJVN, IND Renewable, Imagicaaworld, Aavas Financiers, Tega Industries, Sangam India"
179,2023-06-15 08:30:46,axis-bank-AXBK,"Stocks to Watch: Axis Bank, CSDL, Hero MotoCorp, Indian Oil, Concor, REC, and Others - News18","Stocks to watch: Shares of firms like Axis Bank, CSDL, Hero MotoCorp, Indian Oil, Concor, REC, and others will be in focus on Thursday's trade."
185,2023-06-14 07:44:53,axis-bank-AXBK,"Nestle India, Axis Bank, M&M: How should you trade these buzzing stocks?","Nestle India is in a strong bullish setup where it has given a breakout of flag formation on the shorter time frame.  

"
186,2023-06-14 20:23:04,axis-bank-AXBK,"Bain Capital to sell 0.75% stake in Axis Bank via block deal for up to Rs 2,150 cr: Report","The offer price range for the stake sale is Rs 964-Rs 977.7 per share, said the report"
187,2023-06-16 11:25:29,axis-bank-AXBK,"Stocks In Focus | Axis Bank, ICICI Bank, Dixon Tech, Ahluwalia Contracts, KEC International & More | BQ Prime","Stocks In Focus | Axis Bank, ICICI Bank, Dixon Tech, Ahluwalia Contracts, KEC International & More | BQ Prime Complete Circle Wealth's Kshitiz Mahajan shares insight on banking stocks in focus today and the other top buzzing stocks."
189,2023-06-12 08:26:36,axis-bank-AXBK,"Nifty Bank outlook: Buy the dips; IndusInd Bank, Axis Bank shares may outperform index","Nifty Bank May futures traded with 121.10-point premium to the Nifty Bank spot.

"
192,2023-06-09 09:14:03,axis-bank-AXBK,"ITC, IndiGo, Star Health, Kotak, Axis Bank shares: Stocks that top insurers bought & sold in May","Kotak Mahindra Bank, InterGlobe Aviation, Larsen & Toubro, Axis Bank and Ultratech Cement were some of the stocks that life insurers sold in the month gone by.

"
195,2023-06-08 12:53:09,axis-bank-AXBK,"Stock Market Today: Sensex, Nifty Snap Four-Day Run As Kotak, Axis Bank, Sun Pharma Drag","The S&P BSE Sensex Index closed down 294 points or 0.47% at 62,848,64 while the NSE Nifty 50 Index was 92 points or 0.49% lower at 18,634.55."
200,2023-06-06 07:49:40,axis-bank-AXBK,"Wipro, Axis Bank, SBI Card: How should you trade these stocks?","Axis Bank saw a pullback near the significant 200-DMA level where it bottomed out earlier. It broke above the important 50-EMA level, which has strengthened the trend.
"
201,2023-06-06 05:55:55,axis-bank-AXBK,Axis Bank introduces Kiwi credit card on UPI app,"Axis Bank and Kiwi join forces to introduce a Credit on UPI app, providing a comprehensive solution for RuPay credit card holders"
202,2023-06-05 14:40:39,axis-bank-AXBK,"June stock picks: SBI, Ashok Leyland, TCS, ITC among shares that analysts picked this month","HDFC Bank, ICICI Lombard, Coromandel International are Ashika Stock Broking's top three picks for June. ICICIdirect said it likes Kotak Mahindra Bank, Axis Bank and SBI among banking and financial stocks.

"
203,2023-06-05 11:28:47,axis-bank-AXBK,"Stock Market Today: Sensex, Nifty Advance For The Second Day As Auto Stocks Gain; Axis Bank, M&M Lead","The S&P BSE Sensex Index was up 240 points or 0.38% at 62,787.47 while the NSE Nifty 50 Index was 60 points or 0.32% at 18,593.85."
205,2023-06-02 16:25:52,axis-bank-AXBK,FD Rates Revised: PNB vs BOI vs Union Bank vs Axis Bank Latest Rates,These banks have revised the interest rates on Fixed deposits in the recent weeks
206,2023-06-02 15:46:35,axis-bank-AXBK,Axis Bank Lounge Access On Credit Cards Restructured From June 1: Check Full List Of Cards And Access Details,"Axis Bank reduces complimentary airport lounge access for credit cardholders, limiting it to domestic terminals only."
207,2023-06-02 23:00:16,axis-bank-AXBK,"CBI files case against IL&FS unit for allegedly cheating 19 banks to the tune of Rs 6,524 cr","Some of the banks that the company allegedly cheated reportedly include PNB, Canara Bank, Bank of India, SBI, Axis Bank, Yes Bank, among others"
208,2023-06-02 12:38:53,axis-bank-AXBK,"Punjab National Bank, Axis Bank reduce fixed deposit interest rates on select tenure. Check rates, tenure here",Revised FD rates: Punjab National Bank (PNB) has revised its interest rates on fixed deposits of less than Rs 2 crore. 
210,2023-06-01 09:55:52,axis-bank-AXBK,"Stocks to buy: RIL, Tata Motors, SBI, BPCL & Axis Bank are 5 cos that added 96% of Q4 incremental Nifty earnings","Nifty EPS estimates in FY21-23 were resilient but trend continuation in FY24 looks difficult. The trajectory will change from FY24, with BFSI contribution to incremental EPS growth tapering, Ambit Capital said .

"
212,2023-05-31 12:40:16,axis-bank-AXBK,"Stock Market Today: Sensex, Nifty Snap Four-Day Gains As RIL, HDFC Twins, Axis Bank Drag","The S&P BSE Sensex Index closed down 347 points or 0.55% at 62,622.24 while the NSE Nifty 50 Index was lower 100 points or 0.53% at 18,534.40."
